Close,High,Low,Open,Volume
SPY,SPY,SPY,SPY,SPY
667.5791625976562,667.6783772359653,663.919480237528,664.7426772273783,60702200
665.6452026367188,668.4023890582872,663.7112737749407,667.9957845708525,66501900
647.6542358398438,668.4122493878771,647.4757221413303,666.6071968358344,159422600
657.5919189453125,659.664772492732,654.3488290056752,655.2216030747315,79560500
656.78857421875,660.3590300864076,647.8030207789583,651.7701536094826,88779600
659.7044067382812,664.7228272522149,653.5156893256119,661.3408732132422,81702600
655.2117309570312,663.2154294168515,651.710706867285,661.3409444600238,110563300
658.9308471679688,660.2895852935891,652.7322022395391,654.0810128478913,96500900
665.7840576171875,666.6866142382812,661.7872027532737,661.8367798071084,60493400
665.7741088867188,667.4601523988813,664.4748753427003,665.9229005771253,56249000
662.3128051757812,666.4783066993808,657.8497808005621,666.4783066993808,80564000
666.2402954101562,667.1825015615415,662.3128121266341,662.6301900162397,65604500
671.6851806640625,672.8951271271609,670.0983517375236,670.9016937183009,74356500
679.6094970703125,679.9070199177999,676.5151383891614,677.1201116013259,63339800
681.41455078125,683.2493254549719,679.2028936555786,681.4046232640447,61738100
681.7418823242188,684.0328991417463,677.2590027977353,683.0609104229828,85657100
674.2439575195312,680.303738053287,674.2439575195312,678.2805222142791,76335800
676.4556274414062,679.4508319897004,673.6587916341136,679.4111219213156,87164100
677.7251586914062,680.1649066224819,674.3530715971103,680.0359699637585,57315000
669.6917114257812,674.3729598389511,669.0371611161902,670.5545580097922,78427000
672.0125122070312,675.2655297930335,668.630497422053,669.433839434071,74402400
664.8021850585938,671.8140994484131,663.2252231578799,670.9115428502156,85035300
665.4567260742188,665.5658682287408,655.7769731606511,662.4218719882706,100592400
675.8407592773438,676.57466917413,669.4834554774103,671.6752576501947,75842900
677.3878784179688,677.9532020666294,673.1529450781785,674.3629519753922,58953400
677.7647705078125,679.3318048264125,675.3547447293747,679.1631581075335,62312500
666.5179443359375,675.2654792192372,665.010475070097,674.9084518036677,103457800
666.408935546875,670.1082678298286,657.8201189320223,659.9127671356764,96846700
660.2002563476562,668.1742314199619,656.7290154076413,664.1971714004484,90456100
654.65625,659.6548153709225,650.4708935566339,656.6596108350068,114467500
657.185302734375,661.856623370592,653.3371790986623,655.3505280387882,94703000
647.1683349609375,670.0090710879778,646.5335791707308,667.3808213360044,165293500
653.6148681640625,659.0894699034471,645.5020288545189,649.6675301260088,123956200
663.2351684570312,664.5542570793402,656.1538823239337,657.2448196444445,80437900
669.4734497070312,670.6536740212097,659.020017057554,663.135941149376,81077100
674.09521484375,676.0986363282427,671.1595147067713,672.0620713400136,71879600
677.7747192382812,678.0523870500939,674.9084513312986,675.2654787466182,49212000
674.6803588867188,677.3779800628074,673.1629015749381,673.2323336611282,61201200
675.9300537109375,678.2012155152329,673.7481184984898,676.316803165018,62953800
678.2706298828125,679.2822075879724,674.105128319461,674.9779023816353,57238500
678.7665405273438,679.7384687237238,675.7416137771377,679.6690366334618,61970300
680.0557861328125,682.7336127271673,678.9549213715281,679.8375623637357,79241000
678.0127563476562,680.9980334759979,675.9696853695019,680.9484564225444,55231500
677.4275512695312,679.7582780276033,676.9812972721672,677.5366934232544,58310100
681.92041015625,683.3088703732143,675.711837383319,676.9515664343469,85671300
683.5072021484375,683.5865617528303,676.5647198382891,679.51034738166,86173700
676.1580810546875,683.2195721462687,673.5893360954813,682.5153843270051,113160300
675.1365356445312,680.1252340287925,673.6687159286942,680.1053789946951,90811000
673.2918701171875,675.4837328267965,669.4338188610296,673.6488975485244,122030600
665.8832397460938,674.8489377460819,665.6848710067972,674.3034691132465,110625200
670.9114990234375,675.1464323222394,669.3544527925658,672.0322187932205,108650100
676.9923095703125,677.4896664833268,672.8940327515619,673.0134542661981,103599500
681.2098388671875,681.7370055876305,676.9922622536055,680.3245290528953,69556700
684.3233032226562,684.562024812114,680.2548972126992,680.3046207584179,64840000
686.7305297851562,687.1781631452748,684.164151137988,684.313382495532,39445600
686.660888671875,688.0037280321676,685.6264081645946,686.989161229118,41613300
684.2138671875,685.5567672531378,682.4433081832867,683.9055083361335,62559500
683.3782958984375,684.9200900521846,682.9505762759469,683.8159723723246,47160700
678.3152465820312,683.726492314561,678.1063955310838,683.5076844111845,74144800
679.55859375,683.2390468658663,676.2263268834449,682.0852055985325,89377200
684.0845947265625,685.7855773037328,682.7517121374489,682.910839643419,71927200
688.1529541015625,688.6602678554459,684.1442890432024,684.2934596862484,69273800
685.9347534179688,690.2916046822218,685.6761181181482,688.5309418430683,75588300
685.8651123046875,686.9692300361542,683.8557710289468,685.1787573638412,64019200
690.4010009765625,691.6344363504869,685.5368360184962,686.9791831428475,80125500
691.4852294921875,692.410366767912,686.979207477028,687.0289310253164,63976000
690.1026000976562,692.4103433578374,687.6953490317495,691.813478661017,78309700
686.7105712890625,688.0633674208381,682.4134005947378,687.347202661372,94676700
688.5806884765625,691.7737417111902,687.5959315038539,690.8983886882239,77862000
688.0037231445312,690.5800586110835,686.4519720383781,689.9931507530615,79289200
673.9981689453125,681.1501633341576,672.9934983300664,677.8874730475171,111623300
681.77685546875,685.0991655259935,674.5452667925615,676.0572511802958,127844500
685.3379516601562,687.476610793547,683.2888434897402,686.2033478813381,77112200
685.5865478515625,687.3074439470811,683.5274830754288,684.5123006998919,63059600
689.068115234375,690.4607389282814,686.2729717064406,686.8399658941375,60473800
691.8134765625,692.8480177488461,689.9036431059924,690.5104039402848,55506100
691.7438354492188,694.1510864943795,690.271678492269,693.3652237572153,61172200
690.3711547851562,693.375209936545,681.2098793986574,692.7087686795362,97486200
688.3121337890625,690.540343876794,683.4877957603626,688.1330925763239,101835100
691.73388671875,693.2458711004026,685.7755608588325,685.9347490634862,79286500
685.885009765625,693.2757257351432,680.4140840721383,692.529690413304,107904600
682.5626831054688,687.7948875474046,678.1561081391175,686.7006659106327,105204600
674.0379638671875,680.0758839506523,672.2176206040476,677.3404209861714,113610800
686.96923828125,688.6503070282812,677.2508650473027,677.8576866055596,89127600
690.2816162109375,692.1914496038428,684.7012866666231,685.7755337993461,73885200
688.4613037109375,692.8579216647231,688.0037135108784,691.276360737094,65185700
688.3021850585938,693.4547952732178,685.5368515439336,692.7087599208829,76353900
677.668701171875,691.6742279947084,676.7734344520502,690.5701102294341,118829000
678.1461181640625,682.6522007204912,673.9384983110481,678.0864377658819,96267500
679.2402954101562,681.31927396984,672.2077222570326,676.5446598627462,81354700
682.662109375,685.507036973797,679.2204384959671,680.4041503420104,73570300
680.8616943359375,682.5527199680946,677.9471901363287,680.2251236342836,58649400
685.7855834960938,686.4122580979458,678.126274472082,678.7131823752115,100034000
