Date,Close,High,Low,Open,Volume,Log Return,HV20,HV60
2025-10-22,662.312744140625,666.4782452803545,657.8497201766941,666.4782452803545,80564000,-0.0052125696080209645,0.13484360105996868,
2025-10-23,666.2402954101562,667.1825015615415,662.3128121266341,662.6301900162397,65604500,0.005912541831996953,0.13471565649888265,
2025-10-24,671.6851806640625,672.8951271271609,670.0983517375236,670.9016937183009,74356500,0.008139340211438471,0.13610244940140429,
2025-10-27,679.6094970703125,679.9070199177999,676.5151383891614,677.1201116013259,63339800,0.011728614603400918,0.141132473336326,
2025-10-28,681.41455078125,683.2493254549719,679.2028936555786,681.4046232640447,61738100,0.0026524950416700003,0.1409622195743701,
2025-10-29,681.7418212890625,684.0328379014793,677.2589421639235,683.0608492697363,85657100,0.00048016576939499743,0.140832705798611,
2025-10-30,674.2440185546875,680.3037996369978,674.2440185546875,678.2805836148408,76335800,-0.011058934288291149,0.14762102754797107,0.10562674347695922
2025-10-31,676.4556884765625,679.4508932951077,673.6588524169174,679.4111832231399,87164100,0.0032748535991825116,0.14784586945875744,0.10561720239308044
2025-11-03,677.7251586914062,680.1649066224819,674.3530715971103,680.0359699637585,57315000,0.001874890771598795,0.1475674088642955,0.10476540882405534
2025-11-04,669.691650390625,674.3728983771498,669.0371001406891,670.5544968959969,78427000,-0.011924451941663715,0.1536975157036402,0.10799210235721511
2025-11-05,672.012451171875,675.2654684624238,668.6304366940664,669.4337786331213,74402400,0.0034594857288829657,0.1527703494693622,0.1062757184820046
2025-11-06,664.80224609375,671.8141611273297,663.2252840482561,670.9116044462689,85035300,-0.010787246744836403,0.15747538531196922,0.10881089307211891
2025-11-07,665.4567260742188,665.5658682287408,655.7769731606511,662.4218719882706,100592400,0.0009839889028669835,0.11986429314283749,0.10880531766101294
2025-11-10,675.8406982421875,676.5746080726943,669.4833950163819,671.6751969912248,75842900,0.015483783745324687,0.1202603316804836,0.11273461444723444
2025-11-11,677.387939453125,677.9532631527235,673.1530057317516,674.3630127379913,58953400,0.0022867412676202815,0.11990212306131046,0.1127356830574622
2025-11-12,677.7647705078125,679.3318048264125,675.3547447293747,679.1631581075335,62312500,0.0005561455349355046,0.1194532365431433,0.11192949774430014
2025-11-13,666.5180053710938,675.265541055433,665.0105359672095,674.9085136071693,103457800,-0.016733127522772336,0.13286461939861924,0.11754718890951404
2025-11-14,666.4088134765625,670.1081450818862,657.8199984349773,659.9126462553079,96846700,-0.00016383779399072634,0.13167420586684447,0.11712137276521628
2025-11-17,660.2003173828125,668.1742931923078,656.7290761218832,664.1972328051172,90456100,-0.00936001611387412,0.13083421129590314,0.11515709317139194
2025-11-18,654.65625,659.6548153709225,650.4708935566339,656.6596108350068,114467500,-0.008433011441929867,0.13386478176284955,0.11618964192579156
2025-11-19,657.185302734375,661.856623370592,653.3371790986623,655.3505280387882,94703000,0.0038557337390654808,0.13380805962981454,0.11614788396029646
2025-11-20,647.1683349609375,670.0090710879778,646.5335791707308,667.3808213360044,165293500,-0.015359584109870688,0.14160010903625148,0.12053110845414036
2025-11-21,653.6148681640625,659.0894699034471,645.5020288545189,649.6675301260088,123956200,0.009911853052476355,0.14332185739959916,0.12198498752357789
2025-11-24,663.2351684570312,664.5542570793402,656.1538823239337,657.2448196444445,80437900,0.014611339452438529,0.14712918271949071,0.12472267894423991
2025-11-25,669.4735107421875,670.6537351639657,659.0200771396823,663.1360016067486,81077100,0.009361967767598688,0.15133845511494812,0.12482334361916939
2025-11-26,674.09521484375,676.0986363282427,671.1595147067713,672.0620713400136,71879600,0.006879770632920697,0.15378859504334058,0.12508564669622843
2025-11-28,677.7747192382812,678.0523870500939,674.9084513312986,675.2654787466182,49212000,0.005443590966696786,0.14996050971212596,0.12449875777267967
2025-12-01,674.6803588867188,677.3779800628074,673.1629015749381,673.2323336611282,61201200,-0.004575923889866952,0.15045643891631819,0.12476447957022517
2025-12-02,675.9299926757812,678.2011542749951,673.748057660358,676.316742094939,62953800,0.001850473223761602,0.15045214533844012,0.12473802153440851
2025-12-03,678.2706298828125,679.2822075879724,674.105128319461,674.9779023816353,57238500,0.0034568578671407297,0.14424158345166635,0.12481689333592903
2025-12-04,678.7665405273438,679.7384687237238,675.7416137771377,679.6690366334618,61970300,0.0007308726355028201,0.14385796472843512,0.12474739304402203
2025-12-05,680.0557861328125,682.7336127271673,678.9549213715281,679.8375623637357,79241000,0.0018975931835084833,0.13756655368224943,0.12380675439876421
2025-12-08,678.0127563476562,680.9980334759979,675.9696853695019,680.9484564225444,55231500,-0.0030087308003297914,0.13835222838371994,0.12402722583367148
2025-12-09,677.4276123046875,679.7583392727543,676.9813582671167,677.5367544682442,58310100,-0.0008634006967059875,0.12727718706634036,0.12369160900273853
2025-12-10,681.9203491210938,683.3088092137841,675.7117769038598,676.951505843926,85671300,0.006610159139183051,0.1291658071964744,0.12422956714590286
2025-12-11,683.5072021484375,683.5865617528303,676.5647198382891,679.51034738166,86173700,0.0023243323899324697,0.12935859189927573,0.12420290037537764
2025-12-12,676.1581420898438,683.2196338188487,673.5893968987631,682.5154459360199,113160300,-0.010810206581406788,0.12033449987320262,0.12617346599334556
2025-12-15,675.1365966796875,680.1252955149479,673.6687768311533,680.1054404790556,90811000,-0.001511950835671096,0.12056046552238023,0.1259026745519832
2025-12-16,673.2918701171875,675.4837328267965,669.4338188610296,673.6488975485244,122030600,-0.0027361150535985287,0.11545009522345563,0.12574277380162438
2025-12-17,665.8832397460938,674.8489377460819,665.6848710067972,674.3034691132465,110625200,-0.011064581322954193,0.1186304730223902,0.1273535261600097
2025-12-18,670.9114990234375,675.1464323222394,669.3544527925658,672.0322187932205,108650100,0.007522894645792734,0.12056119466794861,0.1280249695998861
2025-12-19,676.9923095703125,677.4896664833268,672.8940327515619,673.0134542661981,103599500,0.009022679156543787,0.10687850575127299,0.1287977619030289
2025-12-22,681.2098388671875,681.7370055876305,676.9922622536055,680.3245290528953,69556700,0.00621047884157309,0.10413275015836927,0.12888601357304635
2025-12-23,684.3233032226562,684.562024812114,680.2548972126992,680.3046207584179,64840000,0.004560079363435816,0.09365966831447087,0.12906312064411501
2025-12-24,686.7305297851562,687.1781631452748,684.164151137988,684.313382495532,39445600,0.003511501850767283,0.0894057636056409,0.12903856541352868
2025-12-26,686.660888671875,688.0037280321676,685.6264081645946,686.989161229118,41613300,-0.00010141480775991423,0.08700055441610524,0.12891843777758882
2025-12-29,684.2138671875,685.5567672531378,682.4433081832867,683.9055083361335,62559500,-0.003570018446780222,0.08667197756298346,0.12919274868910763
2025-12-30,683.3782958984375,684.9200900521846,682.9505762759469,683.8159723723246,47160700,-0.001221959902357149,0.08487988854850964,0.12923724660908245
2025-12-31,678.3152465820312,683.726492314561,678.1063955310838,683.5076844111845,74144800,-0.007436434837780548,0.0894048319103726,0.13008032714173898
2026-01-02,679.55859375,683.2390468658663,676.2263268834449,682.0852055985325,89377200,0.0018313152201985445,0.08879782814873312,0.1298450723892947
2026-01-05,684.0845947265625,685.7855773037328,682.7517121374489,682.910839643419,71927200,0.006638125918191552,0.09178454062456404,0.1299792550367576
2026-01-06,688.1529541015625,688.6602678554459,684.1442890432024,684.2934596862484,69273800,0.005929543756599755,0.09375741804418006,0.13027882264258278
2026-01-07,685.9347534179688,690.2916046822218,685.6761181181482,688.5309418430683,75588300,-0.0032286186657920035,0.09387259436768154,0.11685233490194197
2026-01-08,685.8651123046875,686.9692300361542,683.8557710289468,685.1787573638412,64019200,-0.00010153246851990349,0.09375601574075523,0.11301642734731103
2026-01-09,690.4010009765625,691.6344363504869,685.5368360184962,686.9791831428475,80125500,0.006591610519991714,0.09374031667860344,0.11358138898876836
2026-01-12,691.4852294921875,692.410366767912,686.979207477028,687.0289310253164,63976000,0.0015692011602722827,0.0935962190694,0.11334541361830285
2026-01-13,690.1026000976562,692.4103433578374,687.6953490317495,691.813478661017,78309700,-0.0020015084477309304,0.08412140274281674,0.11238688365492105
2026-01-14,686.7105712890625,688.0633674208381,682.4134005947378,687.347202661372,94676700,-0.004927372488885677,0.0863298444016149,0.11255174882213512
2026-01-15,688.5806884765625,691.7737417111902,687.5959315038539,690.8983886882239,77862000,0.002719596051916529,0.08549217171392987,0.11082838570127607
2026-01-16,688.0037231445312,690.5800586110835,686.4519720383781,689.9931507530615,79289200,-0.0008382564279319575,0.07294239138816812,0.11085950341558354
2026-01-20,673.9981689453125,681.1501633341576,672.9934983300664,677.8874730475171,111623300,-0.020566855255717744,0.10428086701976787,0.1184714547116712
2026-01-21,681.77685546875,685.0991655259935,674.5452667925615,676.0572511802958,127844500,0.011475018699616915,0.10734190469417886,0.12013547531816128
2026-01-22,685.3379516601562,687.476610793547,683.2888434897402,686.2033478813381,77112200,0.005209663778086045,0.10667416672062882,0.11947593019635794
2026-01-23,685.5865478515625,687.3074439470811,683.5274830754288,684.5123006998919,63059600,0.00036266941646986676,0.10548589888473649,0.11709346421457059
2026-01-26,689.068115234375,690.4607389282814,686.2729717064406,686.8399658941375,60473800,0.00506538103059215,0.10629504527637866,0.11741804115017358
2026-01-27,691.8134765625,692.8480177488461,689.9036431059924,690.5104039402848,55506100,0.003976249609777937,0.10713913156953811,0.1176737520473326
2026-01-28,691.7438354492188,694.1510864943795,690.271678492269,693.3652237572153,61172200,-0.00010066964734378686,0.10614851350277076,0.11529683592681184
2026-01-29,690.3711547851562,693.375209936545,681.2098793986574,692.7087686795362,97486200,-0.001986348639724907,0.10635197403792031,0.11524594836310813
2026-01-30,688.3121337890625,690.540343876794,683.4877957603626,688.1330925763239,101835100,-0.002986940574398427,0.10306504409274903,0.11539988414764885
2026-02-02,691.73388671875,693.2458711004026,685.7755608588325,685.9347490634862,79286500,0.004958907008599522,0.10410042148068215,0.11294814418323568
2026-02-03,685.885009765625,693.2757257351432,680.4140840721383,692.529690413304,107904600,-0.00849133546493203,0.10683309852265144,0.11427625888238258
2026-02-04,682.5626831054688,687.7948875474046,678.1561081391175,686.7006659106327,105204600,-0.004855623207264491,0.10592521537268394,0.1124410498242079
2026-02-05,674.0379638671875,680.0758839506523,672.2176206040476,677.3404209861714,113610800,-0.012567930681256348,0.11409632378328441,0.11554780607918293
2026-02-06,686.96923828125,688.6503070282812,677.2508650473027,677.8576866055596,89127600,0.01900307879815714,0.13419639118055002,0.1177386319249239
2026-02-09,690.2816162109375,692.1914496038428,684.7012866666231,685.7755337993461,73885200,0.0048101394245550514,0.13319522379177096,0.11803624074846393
2026-02-10,688.4613037109375,692.8579216647231,688.0037135108784,691.276360737094,65185700,-0.0026405409324224806,0.13337191352987546,0.11818996502672725
2026-02-11,688.3021850585938,693.4547952732178,685.5368515439336,692.7087599208829,76353900,-0.00023114885650317492,0.13320606442138977,0.11276967554564232
2026-02-12,677.668701171875,691.6742279947084,676.7734344520502,690.5701102294341,118829000,-0.015569436795382833,0.1432653110429153,0.11749849714348806
2026-02-13,678.1461181640625,682.6522007204912,673.9384983110481,678.0864377658819,96267500,0.0007042510601164912,0.14281214312205553,0.11576959170354181
2026-02-17,679.2402954101562,681.31927396984,672.2077222570326,676.5446598627462,81354700,0.0016121827537749706,0.14305980114513064,0.1142996589836501
2026-02-18,682.662109375,685.507036973797,679.2204384959671,680.4041503420104,73570300,0.005025060758005965,0.12325401885151913,0.1144662912084578
2026-02-19,680.8616943359375,682.5527199680946,677.9471901363287,680.2251236342836,58649400,-0.002640828242968268,0.11681010604853027,0.10974646434020717
2026-02-20,685.7855834960938,686.4122580979458,678.126274472082,678.7131823752115,100034000,0.007205824861526998,0.11821260367394261,0.10892875261739253
2026-02-23,678.7827758789062,686.3525334522094,676.7734345413753,684.1940214696967,90558100,-0.010263859697353819,0.12370943139792864,0.1073763464920059
2026-02-24,683.7164916992188,684.7112054782021,676.4053697086953,678.295350173768,73798700,0.007242187209707843,0.1252398175961164,0.10670529231707733
2026-02-25,689.4859008789062,690.0130676270821,686.4519751919497,686.53156929616,56369500,0.0084029028181233,0.1282364633444578,0.10714808355925642
2026-02-26,685.6561889648438,689.6350440416309,680.7323436648176,689.615191050754,71671000,-0.005569928872744709,0.12965974725381943,0.10730059697318248
2026-02-27,682.3637084960938,683.2291046432514,678.0367277603054,679.4790749097389,83308900,-0.004813507218789428,0.13049206488015222,0.10734678944850294
2026-03-02,682.7516479492188,684.9797970984218,674.4358553343317,675.1122534180175,87477200,0.0005683614380813482,0.13023349281315658,0.10729416262414786
2026-03-03,676.7337036132812,679.0016196644848,666.1200629162043,671.4915420947397,105003100,-0.008853326204464676,0.1319056004904326,0.10863972792138928
2026-03-04,681.50830078125,683.4579617719511,676.027417786932,678.026802327329,79182200,0.0070305833857426895,0.13187086932179343,0.10959306254933615
2026-03-05,677.7084350585938,681.9061587313661,672.0385544367263,678.4743840881955,106606500,-0.005591272564328495,0.13223181152395858,0.11013215876947464
2026-03-06,668.8256225585938,672.5358853430707,666.2194774432897,669.8501461298736,100687000,-0.013193786382772557,0.13301470297154974,0.11323224034135031
2026-03-09,674.6845092773438,676.3257505242918,658.888450195908,662.8673051642795,102667700,0.008721815668318755,0.11720209602455998,0.11469674465840195
2026-03-10,673.6002807617188,679.7476047325034,671.1930903760745,674.1374043547928,81505300,-0.0016083082110627642,0.11525117739648456,0.11388682727711372
2026-03-11,672.7548217773438,676.4849986405864,669.7806371390539,673.9982140650914,68441700,-0.0012559228897518618,0.11513005989782309,0.11378357280497656
2026-03-12,662.5390625,668.0995392824933,662.3500644519811,667.6120785283837,108882200,-0.015301438459733196,0.12548976444704998,0.11591386181230964
2026-03-13,658.7890014648438,668.7859240392634,657.863924887251,665.7321452917186,97200200,-0.005676215023587526,0.11573929390891849,0.11640694378698681
2026-03-16,665.493408203125,668.5173163233716,663.5934708305671,664.8468199428278,82023100,0.010125429394262926,0.122649921586743,0.11827768275730142
2026-03-17,667.2440185546875,670.8747480492216,666.1598145596139,668.8355969918504,87128000,0.0026270911632708125,0.12298266906752513,0.11621339723601669
